labels,tweets
not_hatetag,geral foi no jogo do foz
not_hatetag,pois é não é gente é isso ai pessoal
not_hatetag,ontem eu estava tão mal que escrevi tudo o que estava sentindo e mano o texto ficou muito pesado
not_hatetag,eu devo ter um coração de pedra não sou de me sensibilizar fácil
not_hatetag,vivo br pois é estou tentando entender
not_hatetag,ultimamente estou muito viciada em pipoca eu não lembro de gostar tanto assim
not_hatetag,os morangos tão na liberta e eu não sabia tão tomando 
not_hatetag,eu realmente não nasci para viver com pessoas sou muito estressadinha
not_hatetag,cadê meu casal heim heim carinhadeanjo
not_hatetag,amassei xtudos e deixei um para tomar café amanhã
not_hatetag,realidade em todo brasil venha em recife e visite a av sul verá casas sendo vendidas na antiga linha do trem
not_hatetag,saudades desse lugar maravilhoso em rota das cachoeiras
not_hatetag,a gente vai ficar bem eu sei
not_hatetag,aquela hidroginástica recreativa nossa de cada final de semana ou feriado
not_hatetag,sobre pureza amor em gravataí
not_hatetag,leangel acabou o feriado mano 
not_hatetag,mlqpadeirinho  torre meu parceiro estamos junto meu parceiro
not_hatetag,vou desligar a internet para estudar falou
not_hatetag,me apeguei ao feriado e ele vai me deixar a vida não é justa
not_hatetag,os colorados tão até quietos e o gremista entica não é nunca vi
not_hatetag,se não aguenta não se envolve
not_hatetag,palmeriodoria talvez apareça do alto de algum prédio uma imagem dizendo que populares se aglomeram em festa
not_hatetag,sublimeepn mano palavras não descrevem o ódio que estou sentindo cara
not_hatetag,estadao qual é a dúvida
not_hatetag,sorte nossa também te amo
not_hatetag,tabiis está ja acostumei com a exclusão
not_hatetag,o dia hoje foi com eles axwecampelo
not_hatetag,lembrei quem me trouxe em casa no domingo cara
not_hatetag,quaisquer palavras que usar ainda será pouco te
not_hatetag,fui para o culto é sempre muito bom estar na casa do senhor que saudade eu estava disso
not_hatetag,quando não souber o que falar não fale nada
not_hatetag,valexsander droga é o capeta que da ou o dealer
not_hatetag,dgmenezes posso fazer nada bebê
not_hatetag,meu sobrinho escuta ave maria e chora muito
not_hatetag,acarolinalima ra ataca touro é tudo de bom
not_hatetag,espero que a conjuntivite melhore até amanhã
not_hatetag,o pontal do atalaia é rodeado de belezas naturais praia dos anjos praia
not_hatetag,finalidade era ficar em casa mas me falaram que o sapê é o bicho
not_hatetag,o grêmio e gigante respeitem esse clube queremos a copa
not_hatetag,queria para final de semana
not_hatetag, otica ana amaral in belém para
not_hatetag,davisousa estou gostando não sofrendo
not_hatetag,pimpimentalol pimp está jogando o fino do tino do pino do bino do desque do dele dele doly
not_hatetag,só esse lanche do money agora
not_hatetag,o que é fre fire pelo amor de deus
not_hatetag,até  de junho the  já vai ter me matado
not_hatetag,feriado aproveitando as experiências do danilotanaka e tomando champs na
not_hatetag,amanhã quero voltar para casa sem voz
not_hatetag,só faltou o meu mozi mesmo
not_hatetag,eu estou muito triste vendo os snaps das pessoas indo no show do gustavo mioto e eu em casa
not_hatetag,vou comprar um açaí de  lá no bom pastel brasil
not_hatetag,tite assiste goleada do selegrêmio comandado por renato com everton voando em campo grêmio    cerro pela libertadores da américa
not_hatetag,vai para cima deles santoss
not_hatetag,estou com uma espinha na testa que só jesus
not_hatetag,cajusz as energias nem dá vontade de jogar
not_hatetag,lipe nem sabia que era eu
not_hatetag,eu estou só observando as teorias não tenho capacidade de criar elas fakeloveiscoming premiosmtvmiaw mtvbrkpopbts btstwt
not_hatetag,feriadinho perfeito e com as melhores companhias agora já pode pular para quinta feira
not_hatetag,quando começou a tocar confident da ddlovato em luciferonfox
not_hatetag,só não fui dormir ainda por causa da novela estou com sono demais
not_hatetag,amor da dinda em praia grande
not_hatetag,sábado vou lá no shalom
not_hatetag,júlia deu pt certinho estou rindo abeça com os vídeos dela que gravei
not_hatetag,joao rafasousa arlysonsilva convoca 
not_hatetag, açaí da jojo in rio de janeiro
not_hatetag,foram jogar de vermelho e branco na arena
not_hatetag,então vai kim quaresma come a xerequinha dela
not_hatetag,uma coisa pedi ao senhor e a buscarei que possa
not_hatetag,eu não fazia ideia não tinha a absoluta noção do que era isso do que era
not_hatetag,esse boca juniors vai vir atrapalhar a sul americana se continuar assim
not_hatetag,não estamos falando de gente mas sim de uma rede social falida para quem tem cérebro e dele fã uso
not_hatetag,mixtape dos amiga vai fica sinvera
not_hatetag,muito feliz porque ganhei um salgado hoje
not_hatetag,hoje aprendemos uma lição muito importante nunca aceite algo que seja menos do que voce mereça seja no amor na profissão na vida
not_hatetag,sou uma amiga tao top que fiz bolo do sabor que a eduarda queria
not_hatetag,nenhum porque tu só me faz chorar
not_hatetag,sempre um passo a frente num lugar cheio de gente atrasada
not_hatetag,que coração mole é esse deus
not_hatetag,só uma barca de açaí mesmo
not_hatetag,tenho  mil fotos para postar
not_hatetag,thiago uM  pronto cachaceiro agora eu
not_hatetag,globonews hoje comete suicídio coletivo 
not_hatetag,anos aqui supermercados guanabara superguanabara in rio de janeiro 
not_hatetag,brota e convoca as put
not_hatetag,cristianes a diferença é que eles jogam por amor à pátria e ao clube já os brasileiros
not_hatetag,sou bi gosto de mulher e queijo
not_hatetag,jorgecn eu também amo bobagem cara
not_hatetag,ifood porque o cupom de entrega grátis não está dando certo
not_hatetag,minha mãe falou que estou parecendo homenzinho e meu pai fez porém sigo firme amando dkdkd
not_hatetag,sofia está comendo um pedaço de brownie a um século
not_hatetag,eu carol e paola dançamos muito na rua
not_hatetag,estou precisando passar um pente fino nas minhas fotos
not_hatetag,às vezes a gente só quer isso
not_hatetag,eu comecei a ter crise no centro da cidade hoje e achei que fosse passar mas está só piorando 
not_hatetag,nego entregando panfleto para mim na rua quanso eu estou com as mãos ocupadas disviei
not_hatetag,em questão de lateral esquerdo acho que o flamengo tem que olhar para base
not_hatetag,não acredito que vou comer estrogonofe
not_hatetag,pelerevolt e o vento me traz o que eu quero esquecer
not_hatetag,não o rótulo diz ser uma máscara facial espero que minha pele não caia
not_hatetag,esse vai ser combo porque não é
not_hatetag,o que o técnico do jr está fazendo com jonathan alves no bancoprecisando ganhar o jogo marcodevargas libertadoresfoxsports
not_hatetag,eu só lamento mas eu noto de longe seu fingimento enquanto eu tento ser o mais verdadeiro possível
not_hatetag,oi quando é o próximo feriado
not_hatetag,embora tomar um cozumel love cerveja em araçatuba
not_hatetag,andersonheis não vale fazer minha cabeça para jogar poq eu vou cara
not_hatetag,eu só estou por esse langeri day
not_hatetag,pena que a linda não foi na festa
not_hatetag,vinimendes voce é o pior ex namorado do mundo 
not_hatetag,então esse presente nunca será entregue
not_hatetag,iamsadgirl internet sim sim tudo seus olhos seu sorriso sua inteligência sua essência  voce
not_hatetag,o que me da mais medo é o arboleda na zaga
not_hatetag,eu também qual será o gosto
not_hatetag,olhar e ser grata grata pelo respirar pelo andar pelo sorrir pleo
not_hatetag,xurubux mano procurei e só acho aquele pedacinho
not_hatetag,tira o geuvanio e coloca o jean lucas
not_hatetag,depois fala que não me troca por série 
not_hatetag,rangelamanda ja pode me responder na  ja sua vaca
not_hatetag,eu saio para tomar açaí já fico igual um porco na lama meudeus
not_hatetag,eu sou muito lerda para entender as coisas 
not_hatetag,makazumba pelo amor olha isso
not_hatetag,jubsa pode falar que dou em cima muito bem mesmo
not_hatetag,achei essa serie tao xoxa
not_hatetag,copadobrasilfoxsports se vocês ficarem chorando no jogo da volta a chapecoense vai entrar em campo com seis zagueiros
not_hatetag,jvxamaral salveprestes ficou triste não é
not_hatetag,boganika meu deus é a sua também
not_hatetag,cara me sinto uma diva escutando beyonce
not_hatetag,só queria não ter dor de cabeça
not_hatetag,paulabbeatrizz jeancpenedo andreamot vilorri  não tinha sido convidado gente vilorri esqueceu
not_hatetag,eu fico muito putassa com certas coisas
not_hatetag,gabsimoess tem naquela lojinha do iphone que eu esqueci o nome agora
not_hatetag,obrigado para as meninax que tão respondendo meu post porque eu estou muito sem paciência para palhaçada
not_hatetag,mas e só mas um aprendizado
