text,sentiment_class
I've gone to this location multiple times and I've never had a problem. People are friendly and they have what I need,positive
An amazing Salon with even more amazing staff! Michelle is the best!!!!!,positive
"This is our 1st time and I think it is worth 1 hour wait. Great service,",positive
Try The Walking Dead arcade game! So much fun!!,negative
Delicious!!!,positive
Disappointing Bloody Mary - only 2 olives,negative
It's the best. Period.,positive
Shop rite from home is really easy and convenient. I will never shop in store again.,positive
"Great selection on the flavors, easy and convenient parking space. My favorite is the milk tea as always",positive
Just finished seeing Diary of a Wimpy Kid. Really enjoyed it as did Max and Brian.,positive
Nice environment and good service. My favorite pho place in Philly. Recommend!,positive
Went for a tasting and enjoyed some unique wines.,positive
My favorite burger in Reno.,positive
Peggy was awesome. The food was great - surf and turf special. We had a reservation for 7:30 and didn't get seated until 8:15. They should probably schedule better on the holidays.,positive
Love this place!,positive
Do I really need more stuff to craft?!?,positive
Something new....nah.,neutral
Avoid! $9.50 cheesesteaks that taste like something out of the freezer aisle.,neutral
"Good food and excellent family atmosphere. 

Reasonable prices.

I'll be back.",positive
I hate having to shop here but they actually over staff in the morning so you don't wait in line.,negative
Good service awesome food and nice restaurant,positive
Great option to swap out sides with something else. Hint: the Shishitos are a Japanese pepper cooked just a touch. Not too spicy.,positive
Brunch served 11AM-3PM Sat. & Sun.,neutral
"Oyster and crab ""dome"" (whatever that is), wild redfish, goat cheese grits and bread pudding soufflé. YES!!!",positive
Best crab rangoons I've ever had,positive
Still open. Having a lemondrop now.,neutral
Remember!  16 bills gets you free Rangoon.,positive
Awesome atmosphere and great food,positive
Hickory burger!,neutral
It's evident they have trouble keeping/hiring capable wait staff. Service was terrible. Better at Bern's.,negative
Now taking orders for King cakes!,neutral
The mac n chz isn't sharable because it costs about $12 for a minuscule portion,neutral
Shellfish tower is the bomb!,neutral
Canned Kirkland Colombian up to 13$ from 9$ !,neutral
Yee haw!,neutral
"Higher Recommend Salt & Pepper Calamari.
I also enjoyed the Seasoned Shoe String French Fries.",positive
"Delicious sandwich (turkey, cheese, and chipotle mayo panini). Doesn't take Starbucks cards but gives B&N members a 10% discount in cafe.",positive
The food is good (though for the price paid it should have been great). The decor is some what dated and reminded us more of a banquet hall.,positive
"Three words: MOO SHROOM BURGER. 

Amazing!! Great service too.",positive
Avoid this horrific disappointment,negative
Always love it there! Especially for breakfast. Real steak biscuits!,positive
Call 1(800)3923673 its the ford corporate customer relation line and file complaints against this dealership when their service lets you down.,negative
"Good happy hour, but $79.00 for a dinner ""special""?  Really?",positive
It's a crazy target today.,negative
The bouncers there are not welcoming at all and really disrespectful! That's all I have to say about this place,positive
"Shout ""look at the bison!"" to distract your fellow diners. Then hide all the pickle chips for yourself.",neutral
D'oh! This is where I really meant to check-in...,positive
