,label_id,free_text
12699,not-hatetag,ela e o dom de me irritar mesmo estando longe
12700,not-hatetag,salão está cheio graças a deus
12701,not-hatetag,mamys vai compra meu presente
12702,not-hatetag,samramos beyondthewings brunaguedes thaysesantos não sei se ela usa cara
12703,not-hatetag,o jeito que ele me troca por jogo é diferente
12704,not-hatetag,hoje é só assim cara
12705,not-hatetag,highingrid pretendo mas minha mãe não quer que eu saia porque eu estou bem mal real mas fé que vou melhorar
12706,not-hatetag,o cara montou a playlist de natal atrasado
12707,not-hatetag,carnevivva ele era assistente do comitê ficamos trocando cartinhas mas ele era mais tímido do que eu
12708,not-hatetag,qual é a macumba que se faz para gente ficar junto em 
12709,not-hatetag,donapaulasantos feliz  com muita saúde e paz para voce e toda a sua família
12710,not-hatetag, dias permitido por jesus cristo mais um ano vindo ai graças a deus ano de muita vitórias e conquistas
12711,not-hatetag,cadê o henrique com os meus ingressos a
12712,not-hatetag,vizinho milico de arma conversando com o delivery das coisas ilícitas como se nenhuma transação tivesse acabado de rolar
12713,not-hatetag,come que nem um boi depois taca chá verde
12714,not-hatetag,eu estou me tremendo de fome
12715,not-hatetag,acho que vou até voltar para o cinematório
12716,not-hatetag,paixão que não se mede obrigado sempre rbispo monicabernardinodesigner adrianocout vinil gramophone vintage musica disco em teresina
12717,not-hatetag,vamos ter nosso pivete ele vai ter uma mãe modelo e um pai chefe
12718,not-hatetag,vidalofc   está bom para voce e sem despertador em
12719,not-hatetag,vem para live raiz do andremeligenitv e curtir o jogaço da liquid  semanas de time novo e eles estão mandando muitoo
12720,not-hatetag,po lança a musica que quiser mai nenhuma vai melhor que as old
12721,not-hatetag,liviajhuly eu tiro sua paciência
12722,not-hatetag,gustavozupak líder da seleção olímpica foi um pouco demais no máximo um dos líderes nada além disso futebol chinês não é parâmetro
12723,not-hatetag,fernanda pego o celular da andry e está me mandando áudio
12724,not-hatetag,eu só queria meu celular logo
12725,not-hatetag,mano e esse mormaço que está no rio deus nos free estou me queimando até na varanda cara
12726,not-hatetag,as vezes fica estressada só piora a situação
12727,not-hatetag,vipravcss sou um amor não falo mal das pessoas
12728,not-hatetag,uma pitanguinha para passar comigo ano novo em copacabana
12729,not-hatetag,esse ano passou muito rápido meu que que é isso já tamo no mês do natal credo
12730,not-hatetag,minha cabeça está explodindo com esse povo quebrando a parede
12731,not-hatetag,ainda falta o mês inteiro para acabar o ano mas na moral esse foi o pior ano para mim
12732,not-hatetag,lá em santos voce encontra d
12733,not-hatetag,se tudo der certo hoje fico bêbada novamente
12734,not-hatetag,ontem estava todo mundo falando da minha hypa mas eu não tirei nenhuma foto
12735,not-hatetag,laizbraviim o que vale é a intenção
12736,not-hatetag,deus é bom o tempo todo
12737,not-hatetag,discriminar alguém por que vive com hiv nada a ver preconceito aqui não de nenhum tipo diamundialanos
12738,not-hatetag,aliás como tem uma dona no meu bairro que sempre fala falar que faz isso faz aquilo é facimm afinal língua não tem osso
12739,not-hatetag,deus me livre mas quem me dera ter um desse
12740,not-hatetag,mesmo com os dias ruins não podemos deixar de acreditar que dias melhores virão
12741,not-hatetag,ontem eu quase morri engasgada com o remédio hoje de manhã eu engasguei com o pão de queijo e agora com a balinha help
12742,not-hatetag,carmeaboccard henriqys sagarcia vi em algum lugar que eram  referências de repente  legalmente loira meninas malvadas e as apimentadas era isso
12743,not-hatetag,vou parar de comprar roupa
12744,not-hatetag,e só eu voltar para belem que essa cidade fica quente
12745,not-hatetag,começou dezembro e já estou no espírito natalino
12746,not-hatetag,delmirogouveia em casca centro de açao social para criancas e adolescentes
12747,not-hatetag,jaja vou no depósito comprar bebida para mais tarde coisas leves
12748,not-hatetag,tenho que começar a dormir em casa meu deus que coisa estranha de se dizer
12749,not-hatetag,não sei se algumas pessoas preferem fingir que não estão vendo o que está bem ali diante dos olhos delas
12750,not-hatetag,gosta de mim quem quer eu não ligo
12751,not-hatetag,é disso que o mundo precisa para ficar melhor
12752,not-hatetag,aí cleonice seu filho morreu
12753,not-hatetag,claramente preciso de fatos novas com meu pai
12754,not-hatetag,vou dormir a tarde toda quero nem saber
12755,not-hatetag,estou no bk falando com ele ou eu saio daqui quase comprometida ou eu saio alone forever e desisto d hostar d alguém
12756,not-hatetag,meu primo me chamando para da um rolê no deck hoje
12757,not-hatetag,demora para responder já perco interesse
12758,not-hatetag,georgegab claro a pronta entrega 
12759,not-hatetag,minha mãe chorando lendo o texto e vendo o convite de formatura foi a coisa mais linda ontem
12760,not-hatetag,robertacbrum se bem temperado e com um bom acompanhamento fica bem bom
12761,not-hatetag,tentei fingir que não senti mais quando vi ja me apeguei
12762,not-hatetag,teosmiranda premioesportsbr oioficial stonedyooda jukeslol netenho alanzoka não votaram e nem ele divulgou ai deu nisso
12763,not-hatetag,não para de arrumar brasília brasil
12764,not-hatetag,galera do universo alegria é tudo burguesa safada usando capa de chuva sendo que a melhor vibe é a própria chuva
12765,not-hatetag,gente não vou responder essas perguntas no ccat não sou tímida
12766,not-hatetag,acho que vou no ratos hoje ein ein
12767,not-hatetag,jvielaf uesleicap exato não tem porque desespero
12768,not-hatetag,meups dessa vez nenhum com um bom desconto
12769,not-hatetag,parado no bailao nu bailao
12770,not-hatetag,rango do bilti e o melhor papo reto
12771,not-hatetag,devem ter o direito de ir vir mas sem a convivência com predadores
12772,not-hatetag,quem vai para sentinela amanhã isso eu mesma uhul
12773,not-hatetag, dias até o recesso a missão é sobreviver
12774,not-hatetag,    maria luiza o whats não está baixando áudio ahora burra
12775,not-hatetag,cient izzawho itslnagomez tadinho rafa ajuda ele kaksksksksk deixe ele zerar as posições isso se ele não morrer em alguma delas
12776,not-hatetag,impossíveis mesmo porque a hermione sempre olhou para o harry como um filho irmão
12777,not-hatetag,sexta já é meu aniversário maner aulas cara
12778,not-hatetag,sinto em te dizer mas eu já superei voce e
12779,not-hatetag,estou doidão é sem dormir até agora
12780,not-hatetag,dava para ouvir o zé neto e cristiano cantando no garota vip daqui ontem
12781,not-hatetag,nopedal camelo bike furiadanoite tremeterra em mirante de boa viagem niterói
12782,not-hatetag,é por isso que as mulheres não gostam mais da gente
12783,not-hatetag,felicíssima pois descobri que as aulas do ple só começam em abril a muitas fériass gosto assim
12784,not-hatetag,estou com a boca toda cortada por causa da que eu tomei ontem
12785,not-hatetag,esse video está me atormentando desde ontem mano
12786,not-hatetag,labels are for cans not people em são gonçalo rio de janeiro
12787,not-hatetag,e eu que reclamava dos domingos no tédio só queria estar no tédio agora
12788,not-hatetag,estou louca de sono ba
12789,not-hatetag,quero dia  logo fazer minhas compras
12790,not-hatetag,phafx só tem que sobrar para janta minha e da amanda cara
12791,not-hatetag,é ter que ir pegar ele depois cara
12792,not-hatetag, voltas no globo terrestre e contando parabéns para mim
12793,not-hatetag,minha vó caprichou no almoço hoje ufa
12794,not-hatetag,lizquarenghii ele me contou cara vamos sair até quinta então
12795,not-hatetag,deus me dê forças para não cair na tentação desses rostos tão lindos que eu estou vendo no paraná
12796,not-hatetag,zanfa  temos um novo recorde ou business as usual
12797,not-hatetag,marcosscxd preferidadeles doidona enchendo o saco
12798,not-hatetag,minha filha está crescendo tão rápido mel instadog paidedog chowchow meses amor em residencial vila platina
12799,not-hatetag,amanhã estarei no evento e compartilharei com todos os destaques da edição  da bola de prata boladeprataespn
12800,not-hatetag,eu sou o seokjin e nada mais importa jinfoowparty btstwt
12801,not-hatetag,conhece o bentinho o qual machado de assis descreveu tão bem me tornei a dona casmurra suspeitei desde o princípio
12802,not-hatetag,vai rola o hax para começar o domingão
12803,not-hatetag,mal acordei e os cara já me chama para tomar caipirinha e fazer um churras
12804,not-hatetag,os detalhes com o repórter ppspoletto sbtbrasil
12805,not-hatetag,preciso fazer uma limpa no meu celular com urgência
